col0|col1|col2|col3
prentice women's hospital building|first army|53.47|170
former quiqueran hospice (les baux-de-provence)|first army|53.47|170
siechenhaus vor dassow|first army|53.47|170
bývalá porodnice|first army|53.47|170
grant hospital of chicago|first army|53.47|170
webb sanitarium|first army|53.47|170
hokkaido prefectural tomakomai hospital|first army|53.47|170
morgan academy|first army|53.47|170
europäische bibliothek für homöopathie|first army|53.47|170
lakeville state hospital|first army|53.47|170
xinglin hospital|first army|53.47|170
shunrinken|hanaoka seishū|53.47|170
hôtel-dieu de vire|musée de vire normandie|53.47|170
dragonara palace|musée de vire normandie|53.47|170
lincoln hospital|musée de vire normandie|53.47|170
diaconessenhuis (van ketwich verschuurlaan, groningen)|musée de vire normandie|53.47|170
ehemaliges bürgerspital, st veit an der glan|musée de vire normandie|53.47|170
royal naval hospital, portland|musée de vire normandie|53.47|170
chita city hospital|musée de vire normandie|53.47|170
wilhelmstraße 35–37|musée de vire normandie|53.47|170
gartloch hospital|musée de vire normandie|53.47|170
kingseat hospital|musée de vire normandie|53.47|170
carson valley hospital|musée de vire normandie|53.47|170
marinelazarett (flensburg-mürwik)|musée de vire normandie|53.47|170
lyndhurst hospital|musée de vire normandie|53.47|170
children's island sanitarium|musée de vire normandie|53.47|170
ty trevithick field hospital|musée de vire normandie|53.47|170
pennhurst state school and hospital|musée de vire normandie|53.47|170
albert dock seamen's hospital|musée de vire normandie|53.47|170
kanda hospital|musée de vire normandie|53.47|170
convento e capela de nossa senhora dos anjos|musée de vire normandie|53.47|170
searcy hospital|musée de vire normandie|53.47|170
mcginnis hospital|musée de vire normandie|53.47|170
central islip psychiatric center|musée de vire normandie|53.47|170
royal victoria hospital, bournemouth|musée de vire normandie|53.47|170
woodilee hospital|musée de vire normandie|53.47|170
kenmore asylum|musée de vire normandie|53.47|170
hospital de san martín (astorga)|musée de vire normandie|53.47|170
former gynecological clinics, akh vienna|musée de vire normandie|53.47|170
southwest atlanta hospital|musée de vire normandie|53.47|170
ono municipal hospital|musée de vire normandie|53.47|170
woodlawn sanitarium|musée de vire normandie|53.47|170
st. elizabeth health services|musée de vire normandie|53.47|170
bürgerspital eggenburg|musée de vire normandie|53.47|170
fulham hospital|musée de vire normandie|53.47|170
hospital st. georg vor winsen an der luhe|musée de vire normandie|53.47|170
lillhagsparken hospital|musée de vire normandie|53.47|170
royal northern hospital|musée de vire normandie|53.47|170
god's house hospital|musée de vire normandie|53.47|170
bloco hospitalar de celas / antigo manicómio de sena|musée de vire normandie|53.47|170
mid wales hospital|musée de vire normandie|53.47|170
spitalshaus lölling|musée de vire normandie|53.47|170
royal naval hospital, stonehouse|musée de vire normandie|53.47|170
chikusei city hospital|musée de vire normandie|53.47|170
dragon's heart hospital|musée de vire normandie|53.47|170
st john's hospital, bracebridge heath|musée de vire normandie|53.47|170
broomhill hospital|musée de vire normandie|53.47|170
queen alexandra's military hospital|musée de vire normandie|53.47|170
provand's lordship|musée de vire normandie|53.47|170
claude-bernard hospital|musée de vire normandie|53.47|170
narrenturm|musée de vire normandie|53.47|170
kloster gertrudenberg|musée de vire normandie|53.47|170
old fernald-laughton memorial hospital|musée de vire normandie|53.47|170
newberry county memorial hospital|musée de vire normandie|53.47|170
queen alexandra hospital|musée de vire normandie|53.47|170
virginia state colony for epileptics and feebleminded|musée de vire normandie|53.47|170
edifício da misericórdia, incluindo hospital, capela e antiga hospedaria|musée de vire normandie|53.47|170
hospice de la charité|musée de vire normandie|53.47|170
northwood and pinner cottage hospital|musée de vire normandie|53.47|170
hôpital porte madeleine d'orléans|chr d'orléans|53.47|170
sierning bürgerspital|chr d'orléans|53.47|170
st john's rooms and chapel|chr d'orléans|53.47|170
charlottetown hospital|chr d'orléans|53.47|170
maternidade júlio dinis|chr d'orléans|53.47|170
gut melaten (aachen)|chr d'orléans|53.47|170
lungenklinik heckeshorn|chr d'orléans|53.47|170
värnhems sjukhus|chr d'orléans|53.47|170
sint-pietersziekenhuis|chr d'orléans|53.47|170
hôpital des enfants-trouvés|chr d'orléans|53.47|170
corderie de toulon|chr d'orléans|53.47|170
hospital de san sebastián|chr d'orléans|53.47|170
blackburn royal infirmary|chr d'orléans|53.47|170
nur al-din bimaristan|chr d'orléans|53.47|170
new york state inebriate asylum|chr d'orléans|53.47|170
kaiser- und kaiserin-friedrich-kinderkrankenhaus|chr d'orléans|53.47|170
sanatorium grotenburg|chr d'orléans|53.47|170
dispensari antituberculós|chr d'orléans|53.47|170
ensemble ancienne prison/ancien hôpital de haguenau|chr d'orléans|53.47|170
wilhelmina hospital|chr d'orléans|53.47|170
great hospice|chr d'orléans|53.47|170
hospital de lagos|chr d'orléans|53.47|170
st. joseph's miners' hospital|chr d'orléans|53.47|170
old san giovanni di dio hospital|chr d'orléans|53.47|170
duxford chapel|chr d'orléans|53.47|170
tuberculosis sanatorium hohenstein|chr d'orléans|53.47|170
hospital subregional de mira|chr d'orléans|53.47|170
former mental hospital in owińska|chr d'orléans|53.47|170
sakura army hospital|chr d'orléans|53.47|170
ford hospital|chr d'orléans|53.47|170
misericórdia de viana do castelo|chr d'orléans|53.47|170
historic jeffery-hale hospital|chr d'orléans|53.47|170
slaves' prison|chr d'orléans|53.47|170
hospital da misericórdia de beja|chr d'orléans|53.47|170
minnesota state sanatorium for consumptives|chr d'orléans|53.47|170
kagawa national children's hospital|chr d'orléans|53.47|170
bürgerspital mit kapelle|chr d'orléans|53.47|170
united hospital|chr d'orléans|53.47|170
mobile city hospital|chr d'orléans|53.47|170
ancien hôpital militaire de saint-denis|chr d'orléans|53.47|170
sint johannes de deoziekenhuis|chr d'orléans|53.47|170
florence crittenton home and maternity hospital|chr d'orléans|53.47|170
carstairs house|chr d'orléans|53.47|170
souris valley mental health hospital|chr d'orléans|53.47|170
hospital of st lawrence, bodmin|chr d'orléans|53.47|170
gertraudenhospital|chr d'orléans|53.47|170
robert w. long hospital|chr d'orléans|53.47|170
thompson memorial hospital|chr d'orléans|53.47|170
powick hospital|chr d'orléans|53.47|170
bridderhaus|chr d'orléans|53.47|170
wmhs braddock campus (cumberland, maryland)|chr d'orléans|53.47|170
preston hall, aylesford|chr d'orléans|53.47|170
penikese island leper hospital|chr d'orléans|53.47|170
beelitz-heilstätten|chr d'orléans|53.47|170
dijsselhofkliniek|chr d'orléans|53.47|170
sinaï centrum|chr d'orléans|53.47|170
hospital de somport|chr d'orléans|53.47|170
king james vi hospital|chr d'orléans|53.47|170
city of london maternity hospital|chr d'orléans|53.47|170
leroy sanitarium|chr d'orléans|53.47|170
zuwe hofpoort hospital|chr d'orléans|53.47|170
sankt barbara spital|chr d'orléans|53.47|170
foster memorial home|chr d'orléans|53.47|170
crossley hospital east|chr d'orléans|53.47|170
hospital san juan de dios|chr d'orléans|53.47|170
palais des évêques|chr d'orléans|53.47|170
hospital of san rafael (santander)|parliament of cantabria|53.47|170
warburton hospital|parliament of cantabria|53.47|170
maternity hospital queen astrid|parliament of cantabria|53.47|170
st ita's hospital|parliament of cantabria|53.47|170
hospital of san juan de dios, jaén|parliament of cantabria|53.47|170
united states marine hospital (mobile, alabama)|parliament of cantabria|53.47|170
lakeville hospital|parliament of cantabria|53.47|170
horváth ferenc utca, 1|parliament of cantabria|53.47|170
ebenezer-krankenhaus|parliament of cantabria|53.47|170
st helens hospital, pitt street, auckland|parliament of cantabria|53.47|170
oita prefectural mie hospital|parliament of cantabria|53.47|170
ehem. spital (oberalting)|parliament of cantabria|53.47|170
virgin valley heritage museum|parliament of cantabria|53.47|170
leland memorial hospital|parliament of cantabria|53.47|170
hafenkrankenhaus|parliament of cantabria|53.47|170
london lock hospital|parliament of cantabria|53.47|170
netherne hospital|parliament of cantabria|53.47|170
tilkka|parliament of cantabria|53.47|170
hôpital militaire de lille|parliament of cantabria|53.47|170
wislet|parliament of cantabria|53.47|170
montrose, 62, 64 bridge street, montrose royal infirmary|parliament of cantabria|53.47|170
sir titus salt's hospital including wall and piers to saltaire road|parliament of cantabria|53.47|170
spaarne ziekenhuis|parliament of cantabria|53.47|170
krankenhausstraße 32|parliament of cantabria|53.47|170
rosebud county deaconess hospital|parliament of cantabria|53.47|170
bootham park hospital|parliament of cantabria|53.47|170
nederlandsch gasthuis voor ooglijders te utrecht|parliament of cantabria|53.47|170
hôpital marguerite de flandre (seclin)|parliament of cantabria|53.47|170
main building in the former general hospital|parliament of cantabria|53.47|170
fort howard veterans hospital|parliament of cantabria|53.47|170
millie e. hale hospital|parliament of cantabria|53.47|170
sacred heart hospital|parliament of cantabria|53.47|170
babcock building, south carolina state hospital|parliament of cantabria|53.47|170
dundee royal infirmary|parliament of cantabria|53.47|170
tokai municipal hospital|parliament of cantabria|53.47|170
peter j. schweitzer memorial hospital|parliament of cantabria|53.47|170
ville sbertoli|parliament of cantabria|53.47|170
royal portsmouth hospital|parliament of cantabria|53.47|170
hôpital desgenettes|parliament of cantabria|53.47|170
infirmary building, missouri state hospital number 3|parliament of cantabria|53.47|170
fairfield infectious diseases hospital|parliament of cantabria|53.47|170
grey towers|parliament of cantabria|53.47|170
holy rosary hospital|parliament of cantabria|53.47|170
burrell memorial hospital|parliament of cantabria|53.47|170
ospedale vecchio|parliament of cantabria|53.47|170
horton memorial hospital|parliament of cantabria|53.47|170
boulevard hospital|parliament of cantabria|53.47|170
royal cornwall infirmary|parliament of cantabria|53.47|170
old deland memorial hospital|parliament of cantabria|53.47|170
astoria sanitarium|parliament of cantabria|53.47|170
aarhus county hospital|parliament of cantabria|53.47|170
stoke park hospital|parliament of cantabria|53.47|170
royal children's hospital, brisbane|parliament of cantabria|53.47|170
saint joseph hospital|parliament of cantabria|53.47|170
saint joseph hospital|parliament of cantabria|53.47|170
königsberg-sanatorium|parliament of cantabria|53.47|170
anan central hospital|parliament of cantabria|53.47|170
percy jones general hospital|parliament of cantabria|53.47|170
repatriation general hospital|parliament of cantabria|53.47|170
american base hospital no. 116|parliament of cantabria|53.47|170
barnes hospital|parliament of cantabria|53.47|170
jewish maternity hospital|parliament of cantabria|53.47|170
long island hospital and almshouse|parliament of cantabria|53.47|170
casa de la misericordia, antiguo hospital (segorbe)|parliament of cantabria|53.47|170
franja partisan hospital|parliament of cantabria|53.47|170
ehemaliges kindersanatorium zell|parliament of cantabria|53.47|170
cork street fever hospital, dublin|parliament of cantabria|53.47|170
royal canberra hospital|parliament of cantabria|53.47|170
yolo general hospital|parliament of cantabria|53.47|170
brentry hospital|parliament of cantabria|53.47|170
former hospital|parliament of cantabria|53.47|170
alexander house clinic|parliament of cantabria|53.47|170
st. elizabeth hospital|parliament of cantabria|53.47|170
king george military hospital|parliament of cantabria|53.47|170
former sanatorium lemperg|landwirtschaftliche fachschule hatzendorf|53.47|170
philadelphia state hospital at byberry|landwirtschaftliche fachschule hatzendorf|53.47|170
waverly hills sanatorium|landwirtschaftliche fachschule hatzendorf|53.47|170
middle tennessee mental health institute|landwirtschaftliche fachschule hatzendorf|53.47|170
st. jost, trier|landwirtschaftliche fachschule hatzendorf|53.47|170
st. elisabeths hospital, trondheim|landwirtschaftliche fachschule hatzendorf|53.47|170
royal ear hospital building|landwirtschaftliche fachschule hatzendorf|53.47|170
blackburn sanitarium|landwirtschaftliche fachschule hatzendorf|53.47|170
dolhain hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
battle hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
hospital de santa maría magdalena|landwirtschaftliche fachschule hatzendorf|53.47|170
booth memorial hospital cleveland|landwirtschaftliche fachschule hatzendorf|53.47|170
claybury hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
villa st ignatius|landwirtschaftliche fachschule hatzendorf|53.47|170
bruntsfield hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
south ockendon psychiatric hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
original block of former st marks hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
st. george's leper hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
rudolph berghs hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
nam long hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
kifmec|landwirtschaftliche fachschule hatzendorf|53.47|170
former holy spirit hospital in elbląg|landwirtschaftliche fachschule hatzendorf|53.47|170
deutsches haus|landwirtschaftliche fachschule hatzendorf|53.47|170
frederiks hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
royal city of dublin hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
laurvig hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
maison daura|landwirtschaftliche fachschule hatzendorf|53.47|170
anna varvers convent|landwirtschaftliche fachschule hatzendorf|53.47|170
fairfield state hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
the vale resort field hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
preventorio de aguas de busot|landwirtschaftliche fachschule hatzendorf|53.47|170
pacific christian hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
santa maria ad valetudinarium|landwirtschaftliche fachschule hatzendorf|53.47|170
stannington sanatorium|landwirtschaftliche fachschule hatzendorf|53.47|170
royal hospital, wolverhampton|landwirtschaftliche fachschule hatzendorf|53.47|170
middlesex hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
kurgebäude dr. kadner’s sanatorium|landwirtschaftliche fachschule hatzendorf|53.47|170
bethanien|landwirtschaftliche fachschule hatzendorf|53.47|170
willard parker hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
glasgow victoria infirmary|landwirtschaftliche fachschule hatzendorf|53.47|170
château de la droitière|landwirtschaftliche fachschule hatzendorf|53.47|170
wisconsin memorial hospital historic district|landwirtschaftliche fachschule hatzendorf|53.47|170
north general hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
st nicholas hospital, st andrews|landwirtschaftliche fachschule hatzendorf|53.47|170
oskar-ziethen-krankenhaus|landwirtschaftliche fachschule hatzendorf|53.47|170
sebastianikapelle, loosdorf|landwirtschaftliche fachschule hatzendorf|53.47|170
hospital de la resurrección|landwirtschaftliche fachschule hatzendorf|53.47|170
liverpool maternity hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
st. gertrude's hospital, copenhagen|landwirtschaftliche fachschule hatzendorf|53.47|170
adolfsbergs sanatorium|landwirtschaftliche fachschule hatzendorf|53.47|170
vadstena hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
portsmouth general hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
burton road hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
ex ospedale per infermi cronici e miserabili|landwirtschaftliche fachschule hatzendorf|53.47|170
changhua railway hospital|landwirtschaftliche fachschule hatzendorf|53.47|170
hôpital sainte-marthe d'avignon|landwirtschaftliche fachschule hatzendorf|53.47|170
lafargue clinic|landwirtschaftliche fachschule hatzendorf|53.47|170
catharijnegasthuis|landwirtschaftliche fachschule hatzendorf|53.47|170
sīļukalns parish|408|53.47|170
līvbērze parish|2071|53.47|170
sece parish|891|53.47|170
tsapelka volost|utc+03:00|53.47|170
röckersbühl|utc+02:00|442.0|170
moni, cyprus|utc+02:00|monastery|170
tserkezoi|utc+02:00|circassians|170
